ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,883,95
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,891,98
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,898,14
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,899,37
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,901,37
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,905,55
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,911,12
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,914,65
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,915,8
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,918,33
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,919,55
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,921,2
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,922,57
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,932,63
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,935,74
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,938,19
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,945,58
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,948,52
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,952,17
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,953,82
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,954,5
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,964,78
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,966,69
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,967,73
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,968,29
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,971,73
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,976,31
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,978,25
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,979,68
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,981,96
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,982,21
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,989,24
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,991,0
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,995,92
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,1001,97
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,3,86
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,6,48
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,14,99
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,19,45
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,20,48
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,23,95
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,29,48
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,32,90
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,35,99
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,36,5
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,38,11
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,40,66
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,51,73
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,63,81
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,65,41
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,67,56
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,70,54
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,73,4
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,85,88
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,86,14
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,91,19
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,94,4
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,98,0
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,101,98
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,102,46
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,106,10
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,107,73
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,109,99
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,111,95
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,113,9
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,116,43
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,117,58
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,125,95
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,131,22
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,136,38
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,139,16
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,147,5
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,153,27
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,154,34
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,156,22
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,161,41
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,163,24
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,164,50
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,166,34
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,168,43
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,180,23
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,186,67
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,187,7
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,188,92
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,191,73
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,205,57
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,209,8
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,212,34
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,214,70
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,221,17
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,222,84
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,224,49
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,228,18
1,(23.2, 1.5, -10.2),(-12.8, 1.5, -37.8),NonCAV,238,37
